ID,DetectorType,Layer,X,Y,Z,Theta,Phi
1, 1, 1, -38.4258, 242.611, 26.5, 84.75, 9
2, 1, 1, -111.516, 218.862, 26.5, 84.75, 27
3, 1, 1, -173.69, 173.69, 26.5, 84.75, 45
4, 1, 1, -218.862, 111.516, 26.5, 84.75, 63
5, 1, 1, -242.611, 38.4258, 26.5, 84.75, 81
6, 1, 1, -242.611, -38.4258, 26.5, 84.75, 99
7, 1, 1, -218.862, -111.516, 26.5, 84.75, 117
8, 1, 1, -173.69, -173.69, 26.5, 84.75, 135
9, 1, 1, -111.516, -218.862, 26.5, 84.75, 153
10, 1, 1, -38.4258, -242.611, 26.5, 84.75, 171
11, 1, 1, 38.4258, -242.611, 26.5, 84.75, 189
12, 1, 1, 111.516, -218.862, 26.5, 84.75, 207
13, 1, 1, 173.69, -173.69, 26.5, 84.75, 225
14, 1, 1, 218.862, -111.516, 26.5, 84.75, 243
15, 1, 1, 242.611, -38.4258, 26.5, 84.75, 261
16, 1, 1, 242.611, 38.4258, 26.5, 84.75, 279
17, 1, 1, 218.862, 111.516, 26.5, 84.75, 297
18, 1, 1, 173.69, 173.69, 26.5, 84.75, 315
19, 1, 1, 111.516, 218.862, 26.5, 84.75, 333
20, 1, 1, 38.4258, 242.611, 26.5, 84.75, 351
21, 1, 2, -39.4863, 249.307, 74.7271, 74.25, 9
22, 1, 2, -114.594, 224.903, 74.7271, 74.25, 27
23, 1, 2, -178.484, 178.484, 74.7271, 74.25, 45
24, 1, 2, -224.903, 114.594, 74.7271, 74.25, 63
25, 1, 2, -249.307, 39.4863, 74.7271, 74.25, 81
26, 1, 2, -249.307, -39.4863, 74.7271, 74.25, 99
27, 1, 2, -224.903, -114.594, 74.7271, 74.25, 117
28, 1, 2, -178.484, -178.484, 74.7271, 74.25, 135
29, 1, 2, -114.594, -224.903, 74.7271, 74.25, 153
30, 1, 2, -39.4863, -249.307, 74.7271, 74.25, 171
31, 1, 2, 39.4863, -249.307, 74.7271, 74.25, 189
