ID,DetectorType,Layer,X,Y,Z,Theta,Phi,Ereso0,Ereso1,Ethreshold,EthSigma
1, 1, 1, -38.4258, 242.6110,  26.5000, 84.75,   9, 0.715939, -0.439602, 366.246,  46.6691
2, 1, 1, -111.5160, 218.8620,  26.5000, 84.75,  27, 0.618270, -0.418787, 380.342,  35.7219
3, 1, 1, -173.6900, 173.6900,  26.5000, 84.75,  45, 0.527080, -0.398253, 359.208,  36.3863
4, 1, 1, -218.8620, 111.5160,  26.5000, 84.75,  63, 0.679242, -0.440627, 345.962,  36.4900
5, 1, 1, -242.6110,  38.4258,  26.5000, 84.75,  81, 0.395386, -0.336842, 343.075,  33.7790
6, 1, 1, -242.6110, -38.4258,  26.5000, 84.75,  99, 0.719439, -0.434232, 317.145,  42.5236
7, 1, 1, -218.8620, -111.5160,  26.5000, 84.75, 117, 0.657398, -0.429100, 337.168,  46.0242
8, 1, 1, -173.6900, -173.6900,  26.5000, 84.75, 135, 0.624540, -0.406707, 307.066,  36.3808
9, 1, 1, -111.5160, -218.8620,  26.5000, 84.75, 153, 0.553283, -0.410188, 350.186,  36.6562
10, 1, 1, -38.4258, -242.6110,  26.5000, 84.75, 171, 0.568832, -0.415273, 367.125,  36.4403
11, 1, 1,  38.4258, -242.6110,  26.5000, 84.75, 189, 0.517550, -0.390918, 357.567,  36.2305
12, 1, 1, 111.5160, -218.8620,  26.5000, 84.75, 207, 0.345652, -0.317398, 386.932,  35.5359
13, 1, 1, 173.6900, -173.6900,  26.5000, 84.75, 225, 0.926603, -0.485713, 345.455,  36.0817
14, 1, 1, 218.8620, -111.5160,  26.5000, 84.75, 243, 0.574885, -0.423722, 386.296,  36.4693
15, 1, 1, 242.6110, -38.4258,  26.5000, 84.75, 261, 0.589147, -0.423574, 357.299,  38.9102
16, 1, 1, 242.6110,  38.4258,  26.5000, 84.75, 279, 0.545611, -0.406146, 369.802,  36.3179
17, 1, 1, 218.8620, 111.5160,  26.5000, 84.75, 297, 0.553921, -0.414386, 367.939,  37.4485
18, 1, 1, 173.6900, 173.6900,  26.5000, 84.75, 315, 0.581134, -0.399830, 354.766,  35.7253
19, 1, 1, 111.5160, 218.8620,  26.5000, 84.75, 333, 0.429266, -0.365733, 359.926,  36.5150
20, 1, 1,  38.4258, 242.6110,  26.5000, 84.75, 351, 0.582980, -0.413975, 441.384,  60.2515
21, 1, 2, -39.4863, 249.3070,  74.7271, 74.25,   9, 0.538542, -0.407104, 371.554,  36.4335
22, 1, 2, -114.5940, 224.9030,  74.7271, 74.25,  27, 0.570557, -0.406795, 374.250,  46.9617
23, 1, 2, -178.4840, 178.4840,  74.7271, 74.25,  45, 0.649523, -0.393776, 339.453,  34.5381
24, 1, 2, -224.9030, 114.5940,  74.7271, 74.25,  63, 0.799320, -0.447765, 323.748,  45.4569
25, 1, 2, -249.3070,  39.4863,  74.7271, 74.25,  81, 0.527019, -0.407025, 329.164,  37.1354
26, 1, 2, -249.3070, -39.4863,  74.7271, 74.25,  99, 0.441674, -0.377115, 328.582,  37.1705
27, 1, 2, -224.9030, -114.5940,  74.7271, 74.25, 117, 0.546600, -0.414658, 336.808,  37.1102
28, 1, 2, -178.4840, -178.4840,  74.7271, 74.25, 135, 0.525603, -0.387417, 345.923,  38.3902
29, 1, 2, -114.5940, -224.9030,  74.7271, 74.25, 153, 0.557671, -0.422396, 349.276,  37.0728
30, 1, 2, -39.4863, -249.3070,  74.7271, 74.25, 171, 0.252478, -0.255153, 387.788,  35.0329
31, 1, 2,  39.4863, -249.3070,  74.7271, 74.25, 189, 0.325284, -0.333231, 358.778,  37.1337
32, 1, 2, 114.5940, -224.9030,  74.7271, 74.25, 207, 0.534115, -0.404681, 369.939,  36.4130
33, 1, 2, 178.4840, -178.4840,  74.7271, 74.25, 225, 0.381772, -0.327005, 348.693,  35.8763
34, 1, 2, 224.9030, -114.5940,  74.7271, 74.25, 243, 0.662895, -0.427607, 323.477,  40.7310
35, 1, 2, 249.3070, -39.4863,  74.7271, 74.25, 261, 0.531732, -0.400337, 347.413,  36.5833
36, 1, 2, 249.3070,  39.4863,  74.7271, 74.25, 279, 0.553658, -0.411913, 384.806,  36.2506
37, 1, 2, 224.9030, 114.5940,  74.7271, 74.25, 297, 0.678610, -0.444140, 350.918,  40.4468
38, 1, 2, 178.4840, 178.4840,  74.7271, 74.25, 315, 0.603436, -0.417542, 343.627,  36.4291
39, 1, 2, 114.5940, 224.9030,  74.7271, 74.25, 333, 0.544901, -0.414459, 342.211,  37.0246
40, 1, 2,  39.4863, 249.3070,  74.7271, 74.25, 351, 0.728778, -0.434630, 477.769,  56.1227
41, 2, 3, -39.3400, 248.3830, 123.2000, 64.00,   9, 0.464800, -0.389135, 376.082,  36.7798
42, 2, 3, -114.1690, 224.0690, 123.2000, 64.00,  27, 0.688958, -0.441611, 340.084,  38.3008
43, 2, 3, -177.8230, 177.8230, 123.2000, 64.00,  45, 0.675483, -0.442234, 378.439,  36.1584
44, 2, 3, -224.0690, 114.1690, 123.2000, 64.00,  63, 0.715847, -0.451743, 323.221,  41.6812
45, 2, 3, -248.3830,  39.3400, 123.2000, 64.00,  81, 0.667207, -0.443374, 345.346,  41.6773
46, 2, 3, -248.3830, -39.3400, 123.2000, 64.00,  99, 0.688552, -0.438294, 318.007,  41.3294
47, 2, 3, -224.0690, -114.1690, 123.2000, 64.00, 117, 0.591516, -0.429027, 320.564,  43.6382
48, 2, 3, -177.8230, -177.8230, 123.2000, 64.00, 135, 0.654769, -0.440471, 341.376,  38.8462
49, 2, 3, -114.1690, -224.0690, 123.2000, 64.00, 153, 0.539513, -0.409378, 338.043,  36.9556
50, 2, 3, -39.3400, -248.3830, 123.2000, 64.00, 171, 0.457507, -0.361381, 365.802,  35.6939
51, 2, 3,  39.3400, -248.3830, 123.2000, 64.00, 189, 0.464668, -0.383347, 384.308,  48.8607
