ID,DetectorType,Layer,PositionX,PositionY,PositionZ,AngleX,AngleY,AngleZ,rotSign,CrystalType
1,DALI,1,-374,-78,-99,0,0,90,1,1
2,DALI,1,-368,89,-99,0,0,30,1,1
3,DALI,1,-221,167,-99,0,0,-30,1,1
4,DALI,1,374,78,-99,0,0,-90,1,1
5,DALI,1,368,-89,-99,0,0,-150,1,1
6,DALI,1,221,-167,-99,0,0,-210,1,1
7,DALI,2,-330,-131,-49,0,0,54,1,1
8,DALI,2,-392,23,-49,0,0,-6,1,1
9,DALI,2,-289,155,-49,0,0,-66,1,1
10,DALI,2,330,131,-49,0,0,-126,1,1
11,DALI,2,392,-23,-49,0,0,-186,1,1
12,DALI,2,289,-155,-49,0,0,-246,1,1
13,DALI,3,-391,-126,1,0,0,92,1,1
14,DALI,3,-432,27,1,0,0,47,1,1
15,DALI,3,-353,164,1,0,0,2,1,1
16,DALI,3,-200,205,1,0,0,-43,1,1
17,DALI,3,391,126,1,0,0,-88,1,1
18,DALI,3,432,-27,1,0,0,-133,1,1
19,DALI,3,353,-164,1,0,0,-178,1,1
20,DALI,3,200,-205,1,0,0,-223,1,1
21,DALI,4,-182,-193,51,0,0,103,1,1
22,DALI,4,-261,-50,51,0,0,67,1,1
23,DALI,4,-240,113,51,0,0,31,1,1
24,DALI,4,-128,232,51,0,0,-5,1,1
25,DALI,4,33,263,51,0,0,-41,1,1
26,DALI,4,182,193,51,0,0,-77,1,1
27,DALI,4,261,50,51,0,0,-113,1,1
28,DALI,4,240,-113,51,0,0,-149,1,1
29,DALI,4,128,-232,51,0,0,-185,1,1
30,DALI,4,-33,-263,51,0,0,-221,1,1
31,DALI,5,-113,-240,101,0,0,121,1,1
32,DALI,5,-232,-128,101,0,0,85,1,1
33,DALI,5,-263,33,101,0,0,49,1,1
34,DALI,5,-193,182,101,0,0,13,1,1
35,DALI,5,-50,261,101,0,0,-23,1,-1
36,DALI,5,113,240,101,0,0,-59,1,-1
37,DALI,5,232,128,101,0,0,-95,1,1
38,DALI,5,263,-33,101,0,0,-131,1,1
39,DALI,5,193,-182,101,0,0,-167,1,1
40,DALI,5,50,-261,101,0,0,-203,1,1
41,DALI,6,-163,-271,151,0,0,115,1,1
42,DALI,6,-277,-153,151,0,0,85,1,1
43,DALI,6,-316,6,151,0,0,55,1,1
44,DALI,6,-271,163,151,0,0,25,1,1
45,DALI,6,-153,277,151,0,0,-5,1,-1
46,DALI,6,6,316,151,0,0,-35,1,-1
47,DALI,6,163,271,151,0,0,-65,1,-1
48,DALI,6,277,153,151,0,0,-95,1,1
49,DALI,6,316,-6,151,0,0,-125,1,1
50,DALI,6,271,-163,151,0,0,-155,1,1
51,DALI,6,153,-277,151,0,0,-185,1,1
52,DALI,6,-6,-316,151,0,0,-215,1,1
53,DALI,7,-157,-314,201,0,0,117,1,1
54,DALI,7,-278,-214,201,0,0,91.3,1,1
55,DALI,7,-343,-73,201,0,0,65.6,1,1
56,DALI,7,-341,84,201,0,0,39.9,1,1
57,DALI,7,-271,223,201,0,0,14.2,1,1
58,DALI,7,-147,319,201,0,0,-11.5,1,-1
59,DALI,7,6,351,201,0,0,-37.2,1,-1
60,DALI,7,157,314,201,0,0,-62.9,1,-1
61,DALI,7,278,214,201,0,0,-88.6,1,1
62,DALI,7,343,73,201,0,0,-114.3,1,1
63,DALI,7,341,-84,201,0,0,-140,1,1
64,DALI,7,271,-223,201,0,0,-165.7,1,1
65,DALI,7,147,-319,201,0,0,-191.4,1,1
66,DALI,8,-6,-351,201,0,0,-217.1,1,1
67,DALI,8,-195,-297,256,0,0,110,1,0
68,DALI,8,-304,-183,256,0,0,84.3,1,0
69,DALI,8,-354,-33,256,0,0,58.6,1,0
70,DALI,8,-333,124,256,0,0,32.9,1,0
71,DALI,8,-247,256,256,0,0,7.2,1,0
72,DALI,8,-111,338,256,0,0,-18.5,1,0
73,DALI,8,46,352,256,0,0,-44.2,1,0
74,DALI,8,195,297,256,0,0,-69.9,1,0
75,DALI,8,304,183,256,0,0,-95.6,1,0
76,DALI,8,354,33,256,0,0,-121.3,1,0
77,DALI,8,333,-124,256,0,0,-147,1,0
78,DALI,8,247,-256,256,0,0,-172.7,1,0
79,DALI,8,111,-338,256,0,0,-198.4,1,0
80,DALI,8,-46,-352,256,0,0,-224.1,1,0
81,DALI,9,-118,-317,311,0,0,120,1,0
82,DALI,9,-244,-235,311,0,0,94.3,1,0
83,DALI,9,-321,-106,311,0,0,68.6,1,0
84,DALI,9,-335,44,311,0,0,42.9,1,0
85,DALI,9,-283,185,311,0,0,17.2,1,0
86,DALI,9,-175,290,311,0,0,-8.5,1,0
87,DALI,9,-32,337,311,0,0,-34.2,1,0
88,DALI,9,118,317,311,0,0,-59.9,1,0
89,DALI,9,244,235,311,0,0,-85.6,1,0
90,DALI,9,321,106,311,0,0,-111.3,1,0
91,DALI,9,335,-44,311,0,0,-137,1,0
92,DALI,9,283,-185,311,0,0,-162.7,1,0
93,DALI,9,175,-290,311,0,0,-188.4,1,0
94,DALI,9,32,-337,311,0,0,-214.1,1,0
95,DALI,10,-170,-270,366,0,0,103,1,0
96,DALI,10,-270,-169,366,0,0,77.3,1,0
97,DALI,10,-317,-35,366,0,0,51.6,1,0
98,DALI,10,-301,106,366,0,0,25.9,1,0
99,DALI,10,-225,226,366,0,0,0.2,1,0
100,DALI,10,-105,301,366,0,0,-25.5,1,0
101,DALI,10,36,316,366,0,0,-51.2,1,0
102,DALI,10,170,270,366,0,0,-76.9,1,0
103,DALI,10,270,169,366,0,0,-102.6,1,0
104,DALI,10,317,35,366,0,0,-128.3,1,0
105,DALI,10,301,-106,366,0,0,-154,1,0
106,DALI,10,225,-226,366,0,0,-179.7,1,0
107,DALI,10,105,-301,366,0,0,-205.4,1,0
108,DALI,10,-36,-316,366,0,0,-231.1,1,0
109,DALI,11,-101,-289,421,0,0,111,1,0
110,DALI,11,-217,-216,421,0,0,85.3,1,0
111,DALI,11,-289,-101,421,0,0,59.6,1,0
112,DALI,11,-304,34,421,0,0,33.9,1,0
113,DALI,11,-259,163,421,0,0,8.2,1,0
114,DALI,11,-163,259,421,0,0,-17.5,1,0
115,DALI,11,-34,304,421,0,0,-43.2,1,0
116,DALI,11,101,289,421,0,0,-68.9,1,0
117,DALI,11,217,216,421,0,0,-94.6,1,0
118,DALI,11,289,101,421,0,0,-120.3,1,0
119,DALI,11,304,-34,421,0,0,-146,1,0
120,DALI,11,259,-163,421,0,0,-171.7,1,0
121,DALI,11,163,-259,421,0,0,-197.4,1,0
122,DALI,11,34,-304,421,0,0,-223.1,1,0
123,DALI,12,-135,-186,485,0,0,114,1,2
124,DALI,12,-219,-71,485,0,0,78,1,2
125,DALI,12,-219,71,485,0,0,42,1,2
126,DALI,12,-135,186,485,0,0,6,1,2
127,DALI,12,0,230,485,0,0,-30,1,2
128,DALI,12,135,186,485,0,0,-66,1,2
129,DALI,12,219,71,485,0,0,-102,1,2
