ID,Ereso0,Ereso1,Ereso2,Treso
1,3,0.8752,0.0001037,3
2,3,0.8752,0.0001037,3
3,3,0.8752,0.0001037,3
4,3,0.8752,0.0001037,3
5,3,0.8752,0.0001037,3
6,3,0.8752,0.0001037,3
7,3,0.8752,0.0001037,3
8,3,0.8752,0.0001037,3
9,3,0.8752,0.0001037,3
10,3,0.8752,0.0001037,3
11,3,0.8752,0.0001037,3
12,3,0.8752,0.0001037,3
13,3,0.8752,0.0001037,3
14,3,0.8752,0.0001037,3
15,3,0.8752,0.0001037,3
16,3,0.8752,0.0001037,3
17,3,0.8752,0.0001037,3
18,3,0.8752,0.0001037,3
19,3,0.8752,0.0001037,3
20,3,0.8752,0.0001037,3
21,3.13679,0.8752,0.0001037,3
22,2.82465,0.8752,0.0001037,3
23,2.76775,0.8752,0.0001037,3
24,3,0.8752,0.0001037,3
25,3.21735,0.8752,0.0001037,3
26,3,0.8752,0.0001037,3
27,3.22258,0.8752,0.0001037,3
28,3,0.8752,0.0001037,3
29,3,0.8752,0.0001037,3
30,3.04435,0.8752,0.0001037,3
31,3.37182,0.8752,0.0001037,3
32,3,0.8752,0.0001037,3
33,2.98428,0.8752,0.0001037,3
34,2.68401,0.8752,0.0001037,3
35,3,0.8752,0.0001037,3
36,3,0.8752,0.0001037,3
37,3.02879,0.8752,0.0001037,3
38,3,0.8752,0.0001037,3
39,2.54373,0.8752,0.0001037,3
40,3.0956,0.8752,0.0001037,3
41,3.11541,0.8752,0.0001037,3
42,3.56527,0.8752,0.0001037,3
43,3.09798,0.8752,0.0001037,3
44,2.59695,0.8752,0.0001037,3
45,3,0.8752,0.0001037,3
46,3,0.8752,0.0001037,3
47,3,0.8752,0.0001037,3
48,3.09697,0.8752,0.0001037,3
49,2.75048,0.8752,0.0001037,3
50,3.76409,0.8752,0.0001037,3
51,2.60994,0.8752,0.0001037,3
52,2.99745,0.8752,0.0001037,3
53,2.71558,0.8752,0.0001037,3
54,3,0.8752,0.0001037,3
55,3.45004,0.8752,0.0001037,3
56,2.72218,0.8752,0.0001037,3
57,3,0.8752,0.0001037,3
58,3,0.8752,0.0001037,3
59,3,0.8752,0.0001037,3
60,3,0.8752,0.0001037,3
61,3.12837,0.8752,0.0001037,3
62,3.19968,0.8752,0.0001037,3
63,3.3927,0.8752,0.0001037,3
64,3,0.8752,0.0001037,3
65,3.50764,0.8752,0.0001037,3
66,3,0.8752,0.0001037,3
67,3.74732,0.8752,0.0001037,3
68,2.87863,0.8752,0.0001037,3
69,2.6746,0.8752,0.0001037,3
70,2.51509,0.8752,0.0001037,3
71,2.63392,0.8752,0.0001037,3
72,2.59934,0.8752,0.0001037,3
73,2.71158,0.8752,0.0001037,3
74,2.70363,0.8752,0.0001037,3
75,2.77549,0.8752,0.0001037,3
76,2.61874,0.8752,0.0001037,3
77,2.9062,0.8752,0.0001037,3
78,2.64661,0.8752,0.0001037,3
79,2.60434,0.8752,0.0001037,3
80,2.80811,0.8752,0.0001037,3
81,3.09724,0.8752,0.0001037,3
82,2.73452,0.8752,0.0001037,3
83,2.9357,0.8752,0.0001037,3
84,2.54292,0.8752,0.0001037,3
85,2.59194,0.8752,0.0001037,3
86,2.88931,0.8752,0.0001037,3
87,2.36388,0.8752,0.0001037,3
88,3,0.8752,0.0001037,3
89,2.58246,0.8752,0.0001037,3
90,2.69526,0.8752,0.0001037,3
91,2.64589,0.8752,0.0001037,3
92,2.44037,0.8752,0.0001037,3
93,2.27353,0.8752,0.0001037,3
94,2.6366,0.8752,0.0001037,3
95,2.84313,0.8752,0.0001037,3
96,2.7066,0.8752,0.0001037,3
97,2.72257,0.8752,0.0001037,3
98,2.36799,0.8752,0.0001037,3
99,2.33414,0.8752,0.0001037,3
100,2.35986,0.8752,0.0001037,3
101,2.51934,0.8752,0.0001037,3
102,2.35682,0.8752,0.0001037,3
103,2.5795,0.8752,0.0001037,3
104,2.55599,0.8752,0.0001037,3
105,2.46788,0.8752,0.0001037,3
106,2.28551,0.8752,0.0001037,3
107,2.42335,0.8752,0.0001037,3
108,2.493,0.8752,0.0001037,3
109,3.16043,0.8752,0.0001037,3
110,2.86551,0.8752,0.0001037,3
111,2.66154,0.8752,0.0001037,3
112,2.50668,0.8752,0.0001037,3
113,2.35714,0.8752,0.0001037,3
114,2.3646,0.8752,0.0001037,3
115,2.4458,0.8752,0.0001037,3
116,2.69445,0.8752,0.0001037,3
117,2.5375,0.8752,0.0001037,3
118,2.39856,0.8752,0.0001037,3
119,2.35049,0.8752,0.0001037,3
120,2.27111,0.8752,0.0001037,3
121,1.98954,0.8752,0.0001037,3
122,2.59384,0.8752,0.0001037,3
123,3,0.8752,0.0001037,3
124,2.34366,0.8752,0.0001037,3
125,2.38464,0.8752,0.0001037,3
126,2.94342,0.8752,0.0001037,3
127,2.55643,0.8752,0.0001037,3
128,2.12437,0.8752,0.0001037,3
129,2.07292,0.8752,0.0001037,3
130,1.92281,0.8752,0.0001037,3
131,3.04732,0.8752,0.0001037,3
132,3.13724,0.8752,0.0001037,3
133,2.92425,0.8752,0.0001037,3
134,2,0.8752,0.0001037,3
135,2.04362,0.8752,0.0001037,3
136,2.69823,0.8752,0.0001037,3
137,2.5,0.8752,0.0001037,3
138,2.4,0.8752,0.0001037,3
139,2.2,0.8752,0.0001037,3
140,3,0.8752,0.0001037,3
